,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
10,6964.0,94.16390067077549,-66.25549213622394,308.72059255450614,246.48165209008317,2892.1840353871976,1.0,184.5647616312464,240.0
11,78.25,9.981532666656284,16.025806721758162,12.862597116098566,7.904350411547087,35.71320343559643,58.0,202.7699680511182,229.0
12,43.25,7.420755373261929,27.404684984187906,9.222151020837257,6.1982902598201335,26.435028842544405,62.0,204.61271676300578,226.0
13,96.25,11.070199012698888,-51.32171635105259,14.94439713468614,8.456054996112542,41.491378028648455,78.0,199.74285714285713,228.0
14,78.25,9.981532666656284,83.34814846851823,11.743191140484743,9.118733760824485,38.12741699796952,24.0,201.40575079872204,230.0
15,250.75,17.86798298192446,82.0531906838744,20.200249216863604,16.8110346469829,67.44112549695429,89.0,204.3160518444666,231.0
16,88.0,10.585134856802455,30.997867205015698,13.991790032833002,8.350381755850284,41.66295090390226,57.0,199.88920454545453,233.0
17,32.25,6.407961869245868,-15.232446104048659,6.849195803498501,6.204311443613246,22.056349186104043,97.0,201.8217054263566,228.0
18,180.5,15.159806655254442,-36.376579645522085,15.973999633000883,14.840063363362889,57.21625176280136,69.0,205.28116343490305,228.0
19,30.0,6.180387232371033,88.81934442951574,6.567013713288375,6.133867531132574,21.81370849898476,61.0,190.65,224.0
20,158.25,14.194722891072566,82.65356061975298,18.292905409716155,11.356847548768647,51.92031021678297,72.0,202.0742496050553,234.0
21,258.5,18.1420071192258,44.462347330309996,21.227238546257492,15.740771809932463,67.82285348059958,60.0,199.57833655705997,227.0
22,82.5,10.249012754438885,-56.00058228087861,10.761117937779806,10.003841000356566,35.798989873223334,78.0,201.0121212121212,223.0
23,85.75,10.448937312523231,-11.106100570265397,13.92851558623049,8.224392526818189,39.83452377915607,97.0,202.4198250728863,225.0
24,40.0,7.136496464611085,-74.02414304360248,9.53110127226034,5.718430928840302,26.970562748477143,103.0,198.1,226.0
25,269.25,18.515392175699183,-69.08222344329158,19.05203567621984,18.32321270345124,62.7842712474619,81.0,200.6564531104921,225.0
26,79.0,10.02925341359355,-73.91576096974006,14.554097265030094,7.309107011204949,39.402543263816604,37.0,195.70886075949366,226.0
27,16.0,4.51351666838205,70.12696643154594,4.896302892247835,4.279065046814021,14.881727983645295,44.0,187.546875,226.0
28,54.0,8.291859587312052,-78.58173420429225,9.251052424473906,7.740513080995118,29.213203435596427,81.0,195.1712962962963,222.0
29,26.0,5.753627391751592,-35.41553670534191,7.715805120225359,5.26224319256627,24.071067811865476,45.0,192.68269230769232,223.0
30,30.75,6.257165172872317,16.33734123320569,6.949068665010267,5.701519521399185,20.227922061357855,115.0,202.08130081300814,225.0
31,79.75,10.076748170547344,9.417155920226898,13.139590673801857,8.370707274897448,40.22792206135785,62.0,194.72100313479623,228.0
32,191.75,15.625097846188595,-62.99229458492986,17.68002500287096,13.986127758941949,58.68376618407357,47.0,201.04693611473272,225.0
33,118.25,12.27031279816994,-68.06547687641593,14.216310958677699,10.798866810907658,45.38782463805517,81.0,202.34038054968286,226.0
34,7.5,3.0901936161855166,-89.24993127399719,4.011313320107301,2.430004321700951,9.535533905932738,105.0,190.16666666666666,217.0
