,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
30,200.13863600000002,15.963221034132067,78.43961767507209,19.92244325151883,12.961122638325858,58.24659490855187,15.0,87.10092687950566,148.0
31,220.956352,16.77290568228482,71.3122790304597,23.103055458799986,13.552661549266666,68.03317743904311,8.0,82.30503731343283,143.0
32,148.815752,13.765104442971035,43.11020860274955,17.868398462619716,11.179339560635235,53.47291265245619,29.0,123.58587257617728,200.0
33,216.62791600000003,16.607806271292034,83.60199567772632,25.62391469159782,11.243110860724471,70.3972039177018,8.0,82.07992388201713,156.0
34,1073.039896,36.96264098607818,80.71445084318866,54.16754785403665,27.687037866787485,201.17134696651848,12.0,77.72224356511717,198.0
35,250.63705600000003,17.863958438017075,67.62204260094568,20.671456580141825,15.884760504076304,67.34549518294742,10.0,92.74424342105263,176.0
36,176.023064,14.970622093628855,-58.9074410747659,16.314470155296174,14.066847418778165,53.94027716464757,11.0,99.20257611241217,182.0
37,2.06116,1.6199846974667163,-73.9973348547442,2.8178667393662113,1.0467819635309146,4.728052957317385,89.0,95.3,109.0
38,359.46630400000004,21.393613842747364,-84.55629921040124,27.735429999966243,16.94971923958761,92.41228954270821,6.0,58.6651376146789,125.0
39,242.59853200000003,17.575154179611022,-68.56307598209999,23.32990874799676,13.571236254971009,63.61670082318664,55.0,141.3823279524214,235.0
40,269.80584400000004,18.53449405787615,20.949005048290793,24.513008143418354,14.293855681704663,74.26565405489957,5.0,80.73262032085562,162.0
41,311.85350800000003,19.92647029832387,5.99439807236718,23.37574281842624,17.097493123258765,70.64701856709095,7.0,87.25181758096497,156.0
42,338.854704,20.77121106368929,45.482902762515614,27.621076428962866,16.426450380990865,90.08052785063644,8.0,69.86253041362531,145.0
43,106.768088,11.659388995884981,41.17492021102305,13.264821847405539,10.538254053647183,42.6197740701324,32.0,143.7934362934363,221.0
44,263.21013200000004,18.30654387472857,-0.20172967143796075,21.825524830479637,15.445341699619048,65.62075378050403,9.0,89.30070477682068,148.0
45,152.73195600000003,13.945048086111102,-49.754592083502274,15.64730639254736,12.892181866365243,52.72070082318665,12.0,101.6450742240216,203.0
46,196.01631600000002,15.797965848314263,59.8312643497846,17.806214399959646,14.494078882677595,62.97464786586926,8.0,94.62250262881177,153.0
47,242.59853200000003,17.575154179611022,-25.814443152040095,23.97858002791639,14.023590000658837,72.11917743904311,25.0,73.2090059473237,151.0
48,282.37892000000005,18.96143474380583,-7.790039058549649,23.416002892861766,16.464315412503993,76.98965405489957,7.0,64.53649635036497,117.0
49,119.54728000000001,12.337435890878096,2.641836406721706,26.45098008282494,8.514597041878202,74.9399717988039,4.0,65.49655172413793,133.0
50,257.64500000000004,18.111979530225046,63.02259449599658,19.638750492125588,17.319358933056673,72.01178644819305,7.0,73.2768,138.0
51,382.55129600000004,22.069876256039283,-29.902591340522235,29.523203335378614,17.245002562331358,96.3130044664929,6.0,69.11853448275862,137.0
52,392.03263200000004,22.341697560593012,42.42759534996231,28.812531498431024,17.9514508996401,100.5870574238103,6.0,56.52523659305994,146.0
53,233.11719600000004,17.228291630483206,-1.1053644692457956,20.331496307185674,14.766790662219066,62.066647865869264,5.0,74.75243147656941,149.0
54,360.290768,21.418133752047638,56.30755554498627,29.399786836685212,15.880431852389963,88.24839545734297,4.0,63.316933638443935,137.0
55,289.18074800000005,19.188443499400723,-64.7235511961932,24.27101974224719,15.532997782652973,72.60544222563004,5.0,62.40841054882395,128.0
56,252.90433200000004,17.944575685627967,-61.00895454007549,25.24672040872466,13.209072975375141,71.8532303963605,5.0,69.95436022819887,115.0
57,266.507988,18.420871567583447,63.67735842248886,28.40256680829038,13.039711833387619,95.12292503051681,7.0,72.96055684454757,142.0
58,279.69941200000005,18.87125729774179,19.887195480968252,23.196477572169314,15.838813537699966,75.77007771343865,7.0,67.53352984524687,121.0
59,246.51473600000003,17.716441805146676,89.14333185116391,26.143881848406583,12.722304942549496,74.57723039636049,8.0,70.42224080267559,130.0
60,259.08781200000004,18.16262227205393,32.67155067577279,20.138462359445217,17.433624181691403,77.4759188414865,12.0,81.1073985680191,156.0
61,273.72204800000003,18.668522592307525,66.86363877668369,25.130896162438482,14.237583782582027,71.03925687501919,19.0,126.50301204819277,249.0
62,220.13188800000003,16.741583702231154,-79.17833821674404,23.63131007435101,12.593211805157551,70.03723039636048,6.0,81.63483146067416,130.0
63,51.735116000000005,8.116107166780195,3.34389078217739,9.043322006775703,7.78894993588776,31.237509283545478,17.0,91.67729083665338,143.0
64,117.07388800000001,12.209140176830449,77.16726212490471,16.798671577999716,9.780134350902628,56.008859695138796,22.0,113.01760563380282,174.0
65,262.591784,18.285027850986562,-42.64852675536649,19.96064990527342,17.431419475886234,73.99970701221696,5.0,69.84379905808477,138.0
66,102.645768,11.432088650693325,-56.45365821560664,17.212846341765374,8.831170038851365,53.76835660062364,10.0,81.49598393574297,180.0
67,71.11002,9.515255618789666,-88.62062704194302,11.132992219630617,8.391335347680513,35.9494298475694,20.0,120.75072463768116,221.0
68,290.41744400000005,19.22942989746991,68.51723602588193,22.558241423211673,16.49753747127878,68.45491265245619,9.0,85.78282469836763,152.0
69,179.32092000000003,15.110211333475469,-58.76194681191386,18.655396980176764,12.392534841001769,53.86238307928233,10.0,95.54252873563219,148.0
70,164.686684,14.48052480264799,61.191404712491135,20.065588660452477,12.142954592688962,63.039177439043115,7.0,109.36795994993741,191.0
71,130.05919600000001,12.868430809685433,27.006222323522525,16.923666275574973,9.875636915716674,47.09801237806064,51.0,123.55784469096672,205.0
72,251.46152000000004,17.893315825838766,35.11214464541275,21.614597187958566,15.516194285047987,75.67328335367787,5.0,71.61147540983606,141.0
73,155.41146400000002,14.066841211515296,17.75377005196768,18.13835779499089,11.07960876955053,53.48627716464756,21.0,94.4920424403183,154.0
74,251.25540400000003,17.885980996333675,-77.77056348320764,20.326934026817828,16.074060135682082,64.79064786586926,5.0,104.98605414273995,189.0
75,143.456736,13.51498387841556,-45.65315692717025,16.734716324121138,11.073033802591727,50.23038307928233,25.0,121.03591954022988,197.0
76,43.696592,7.458969694572981,36.435618754514095,8.772135192574051,6.93569522111718,29.93727097561724,13.0,95.43867924528301,140.0
